Label,Xmm,Ymm,Xprec,Yprec,X,Y,Xpixel,Ypixel,Xbreg,Ybreg,Xbregmm,Ybregmm,Xbregvx,Ybregvx,X-MRI,Y-MRI,Z-MRI
E1,0.55,7.06,39.71119134,451.4066496,40,451,0.01385,0.01564,-296,-269,-4.0996,-4.20716,-20.498,-52.5895,9.817353846153846,96.46180682926828,41
E2,2.4,7.04,173.2851986,450.1278772,173,450,0.01385,0.01564,-163,-268,-2.25755,-4.19152,-11.28775,-52.394,18.88590769230769,96.65711609756099,41
E3,3.64,7.05,262.8158845,450.7672634,263,451,0.01385,0.01564,-73,-269,-1.01105,-4.20716,-5.05525,-52.5895,25.02252307692308,96.46180682926828,41
E4,0.46,5.91,33.21299639,377.8772379,33,378,0.01385,0.01564,-303,-196,-4.19655,-3.06544,-20.98275,-38.318,9.340061538461537,110.71938341463414,41
E5,1.75,5.94,126.3537906,379.7953964,126,380,0.01385,0.01564,-210,-198,-2.9085,-3.09672,-14.5425,-38.709,15.681230769230769,110.32876487804879,41
E6,3.57,5.92,257.7617329,378.516624,258,379,0.01385,0.01564,-78,-197,-1.0803,-3.08108,-5.4015,-38.5135,24.6816,110.52407414634146,41
E7,0.56,4.81,40.433213,307.544757,40,308,0.01385,0.01564,-296,-126,-4.0996,-1.97064,-20.498,-24.633,9.817353846153846,124.39103219512195,41
E8,1.75,4.82,126.3537906,308.1841432,126,308,0.01385,0.01564,-210,-126,-2.9085,-1.97064,-14.5425,-24.633,15.681230769230769,124.39103219512195,41
E9,3.51,4.81,253.4296029,307.544757,253,308,0.01385,0.01564,-83,-126,-1.14955,-1.97064,-5.74775,-24.633,24.340676923076924,124.39103219512195,41
E10,1.13,3.32,81.58844765,212.2762148,82,212,0.01385,0.01564,-254,-30,-3.5179,-0.4692,-17.5895,-5.865,12.681107692307691,143.14072195121952,41
E11,2.51,3.33,181.2274368,212.915601,181,213,0.01385,0.01564,-155,-31,-2.14675,-0.48484,-10.73375,-6.0605,19.431384615384616,142.94541268292681,41
E12,2.69,1.81,194.2238267,115.7289003,194,116,0.01385,0.01564,-142,66,-1.9667,1.03224,-9.8335,12.903,20.317784615384618,161.89041170731707,41
E13,4.1,1.78,296.0288809,113.8107417,296,114,0.01385,0.01564,-40,68,-0.554,1.06352,-2.77,13.294,27.272615384615385,162.28103024390245,41
E14,3.12,0.51,225.2707581,32.60869565,225,33,0.01385,0.01564,-111,149,-1.53735,2.33036,-7.68675,29.1295,22.43150769230769,178.10108097560976,41
E15,4.15,0.51,299.6389892,32.60869565,300,33,0.01385,0.01564,-36,149,-0.4986,2.33036,-2.493,29.1295,27.545353846153844,178.10108097560976,41
E16,5.19,0.49,374.7292419,31.32992327,375,31,0.01385,0.01564,39,151,0.54015,2.36164,2.70075,29.5205,32.6592,178.4916995121951,41
E17,6.17,0.52,445.4873646,33.24808184,445,33,0.01385,0.01564,109,149,1.50965,2.33036,7.54825,29.1295,37.43212307692308,178.10108097560976,41
E18,5.23,1.8,377.6173285,115.0895141,378,115,0.01385,0.01564,42,67,0.5817,1.04788,2.9085,13.0985,32.86375384615385,162.08572097560975,41
E19,6.61,1.79,477.2563177,114.4501279,477,114,0.01385,0.01564,141,68,1.95285,1.06352,9.76425,13.294,39.614030769230766,162.28103024390245,41
E20,6.79,3.33,490.2527076,212.915601,490,213,0.01385,0.01564,154,-31,2.1329,-0.48484,10.6645,-6.0605,40.50043076923077,142.94541268292681,41
E21,8.19,3.32,591.3357401,212.2762148,591,212,0.01385,0.01564,255,-30,3.53175,-0.4692,17.65875,-5.865,47.387076923076926,143.14072195121952,41
E22,5.77,4.83,416.6064982,308.8235294,417,309,0.01385,0.01564,81,-127,1.12185,-1.98628,5.60925,-24.8285,35.52295384615385,124.19572292682926,41
E23,7.57,4.83,546.5703971,308.8235294,547,309,0.01385,0.01564,211,-127,2.92235,-1.98628,14.61175,-24.8285,44.386953846153844,124.19572292682926,41
E24,8.76,4.84,632.4909747,309.4629156,632,309,0.01385,0.01564,296,-127,4.0996,-1.98628,20.498,-24.8285,50.18264615384615,124.19572292682926,41
E25,5.78,5.93,417.3285199,379.1560102,417,379,0.01385,0.01564,81,-197,1.12185,-3.08108,5.60925,-38.5135,35.52295384615385,110.52407414634146,41
E26,7.58,5.91,547.2924188,377.8772379,547,378,0.01385,0.01564,211,-196,2.92235,-3.06544,14.61175,-38.318,44.386953846153844,110.71938341463414,41
E27,8.84,5.94,638.267148,379.7953964,638,380,0.01385,0.01564,302,-198,4.1827,-3.09672,20.9135,-38.709,50.59175384615384,110.32876487804879,41
E28,5.67,7.03,409.3862816,449.488491,409,449,0.01385,0.01564,73,-267,1.01105,-4.17588,5.05525,-52.1985,34.97747692307692,96.85242536585366,41
E29,6.94,7.02,501.0830325,448.8491049,501,449,0.01385,0.01564,165,-267,2.28525,-4.17588,11.42625,-52.1985,41.250461538461536,96.85242536585366,41
E30,8.74,7.05,631.0469314,450.7672634,631,451,0.01385,0.01564,295,-269,4.08575,-4.20716,20.42875,-52.5895,50.11446153846154,96.46180682926828,41
Bregma,4.66,2.85,336.4620939,182.2250639,336,182,0.01385,0.01564,0,0,0.0,0.0,0.0,0.0,30.0,149.0,41
